epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,6176.21,1.32009,0.89048,1.1913,0.28313,0.24659,0.22177,0.09569,2.14859,2.04167,1.60795,0.006964,0.006964,0.006964
94,6242.6,1.32265,0.90203,1.20326,0.26908,0.27415,0.23711,0.11292,1.98084,1.85709,1.48024,0.006931,0.006931,0.006931
95,6308.94,1.31023,0.88539,1.17674,0.43763,0.23946,0.22175,0.10071,2.2512,2.56334,1.69721,0.006898,0.006898,0.006898
96,6375.36,1.30892,0.87808,1.18622,0.43173,0.24254,0.21853,0.10259,2.15799,2.07141,1.58875,0.006865,0.006865,0.006865
97,6441.65,1.33841,0.87927,1.19651,0.44755,0.25665,0.25061,0.1138,1.99345,1.81126,1.49756,0.006832,0.006832,0.006832
98,6508.2,1.30019,0.87292,1.18476,0.3123,0.28861,0.2648,0.12658,1.96281,1.79006,1.46533,0.006799,0.006799,0.006799
99,6574.6,1.31306,0.86468,1.19406,0.43065,0.26753,0.23553,0.1112,2.07548,1.90863,1.51933,0.006766,0.006766,0.006766
100,6641.02,1.29622,0.87809,1.18688,0.44788,0.26152,0.21296,0.09837,2.06539,2.19078,1.57732,0.006733,0.006733,0.006733
101,6707.43,1.29993,0.87222,1.17134,0.26128,0.22194,0.20713,0.0945,2.08922,2.07939,1.5514,0.0067,0.0067,0.0067
102,6773.96,1.30078,0.88264,1.18461,0.45768,0.36031,0.29679,0.13739,1.93847,1.74955,1.48054,0.006667,0.006667,0.006667
103,6840.36,1.3023,0.87638,1.19072,0.30944,0.29967,0.251,0.11333,1.99827,1.86257,1.51493,0.006634,0.006634,0.006634
104,6906.69,1.29157,0.86403,1.18434,0.43587,0.24996,0.23453,0.11004,1.98366,1.82359,1.50164,0.006601,0.006601,0.006601
105,6973.15,1.29638,0.85817,1.17115,0.43924,0.26753,0.22077,0.0981,2.13538,2.23346,1.56518,0.006568,0.006568,0.006568
106,7039.6,1.279,0.84752,1.15687,0.44652,0.26869,0.22438,0.10336,2.1257,1.93667,1.56948,0.006535,0.006535,0.006535
107,7105.97,1.29337,0.85952,1.1737,0.45497,0.2245,0.22955,0.10326,2.19197,1.96075,1.64649,0.006502,0.006502,0.006502
108,7172.34,1.28904,0.86122,1.17979,0.2498,0.2071,0.20142,0.08839,2.15309,2.02801,1.563,0.006469,0.006469,0.006469
109,7238.87,1.28872,0.85197,1.18213,0.17641,0.15129,0.13237,0.06017,2.39173,3.04414,1.70356,0.006436,0.006436,0.006436
110,7305.18,1.2933,0.84539,1.16384,0.45055,0.28029,0.28422,0.13768,1.98796,1.79091,1.4862,0.006403,0.006403,0.006403
111,7371.54,1.25801,0.84469,1.15439,0.28866,0.29194,0.26795,0.12196,2.0049,1.80344,1.47567,0.00637,0.00637,0.00637
112,7437.94,1.27235,0.83452,1.16937,0.47825,0.27035,0.25143,0.11166,2.10491,1.81312,1.54124,0.006337,0.006337,0.006337
113,7504.29,1.27951,0.84329,1.17666,0.27947,0.22353,0.19861,0.09219,2.12375,2.15175,1.57329,0.006304,0.006304,0.006304
114,7570.83,1.28148,0.8524,1.16835,0.29166,0.37132,0.28883,0.12594,2.04629,1.78809,1.50824,0.006271,0.006271,0.006271
115,7637.14,1.28744,0.83759,1.17484,0.26618,0.29435,0.25585,0.12091,2.06993,1.9696,1.54825,0.006238,0.006238,0.006238
116,7703.4,1.26447,0.82437,1.16056,0.43925,0.25004,0.24328,0.11495,2.00323,1.9065,1.50418,0.006205,0.006205,0.006205
117,7769.79,1.26538,0.85084,1.17369,0.46174,0.22589,0.24229,0.11666,2.03094,1.8451,1.50358,0.006172,0.006172,0.006172
118,7836.25,1.26012,0.84207,1.16901,0.42124,0.26022,0.24741,0.1176,1.99668,1.89274,1.48411,0.006139,0.006139,0.006139
119,7902.6,1.23838,0.82419,1.15748,0.28204,0.25971,0.24735,0.11977,1.98674,1.82097,1.46896,0.006106,0.006106,0.006106
120,7968.83,1.25705,0.81291,1.1715,0.43573,0.25996,0.26465,0.11944,1.94589,1.77081,1.4551,0.006073,0.006073,0.006073
121,8035.18,1.24149,0.8207,1.14335,0.34912,0.34186,0.28224,0.12518,1.96226,1.75212,1.48644,0.00604,0.00604,0.00604
122,8101.5,1.24777,0.82004,1.14842,0.33662,0.26825,0.24171,0.11446,2.00368,1.75832,1.49483,0.006007,0.006007,0.006007
123,8167.81,1.23231,0.82799,1.15415,0.42768,0.28622,0.26786,0.12742,1.99095,1.79749,1.46589,0.005974,0.005974,0.005974
124,8234.13,1.23927,0.81106,1.15954,0.27066,0.23054,0.22737,0.10335,2.0541,1.96083,1.51962,0.005941,0.005941,0.005941
125,8300.52,1.20901,0.80306,1.13151,0.26392,0.23818,0.21079,0.09462,2.10865,2.008,1.57017,0.005908,0.005908,0.005908
126,8366.96,1.20896,0.78137,1.12937,0.42249,0.26755,0.25784,0.12682,1.98279,1.80672,1.49463,0.005875,0.005875,0.005875
127,8433.37,1.23947,0.81657,1.16636,0.21489,0.24545,0.20137,0.09406,2.15509,1.97244,1.55032,0.005842,0.005842,0.005842
128,8499.67,1.20838,0.78534,1.15993,0.23567,0.24373,0.21313,0.09924,2.17345,1.95316,1.58349,0.005809,0.005809,0.005809
129,8566.03,1.23982,0.80211,1.15774,0.25707,0.24801,0.21749,0.10377,2.08197,1.89186,1.51153,0.005776,0.005776,0.005776
130,8632.44,1.22575,0.79443,1.14928,0.4233,0.27766,0.22323,0.10445,2.03448,1.91229,1.51056,0.005743,0.005743,0.005743
131,8698.83,1.2252,0.80379,1.14609,0.27794,0.28139,0.25282,0.11444,2.03564,1.84405,1.50936,0.00571,0.00571,0.00571
132,8765.05,1.25555,0.80636,1.159,0.29189,0.27832,0.23561,0.10625,2.18604,2.16106,1.58894,0.005677,0.005677,0.005677
133,8831.62,1.20567,0.79347,1.13279,0.30312,0.32458,0.29821,0.15262,1.84722,1.6171,1.41063,0.005644,0.005644,0.005644
134,8898.39,1.24239,0.82122,1.14578,0.30502,0.26191,0.23677,0.10543,2.04095,1.88987,1.49354,0.005611,0.005611,0.005611
135,8964.78,1.24264,0.80778,1.1541,0.41444,0.24652,0.23372,0.10831,2.01213,1.94203,1.50397,0.005578,0.005578,0.005578
136,9031.04,1.20313,0.77348,1.14779,0.24052,0.3118,0.239,0.10728,2.11664,1.84409,1.52779,0.005545,0.005545,0.005545
137,9097.34,1.22013,0.78112,1.14224,0.25423,0.23736,0.2096,0.09701,2.12235,1.94099,1.55482,0.005512,0.005512,0.005512
138,9163.58,1.21274,0.79569,1.14755,0.48671,0.27869,0.25044,0.11327,2.09943,1.91775,1.55671,0.005479,0.005479,0.005479
139,9230.06,1.20455,0.78109,1.14143,0.46286,0.23472,0.22776,0.10249,2.11705,1.8878,1.53341,0.005446,0.005446,0.005446
140,9296.38,1.20681,0.76514,1.14097,0.45286,0.28152,0.26099,0.11143,2.1698,1.81981,1.55088,0.005413,0.005413,0.005413
141,9362.74,1.1863,0.77793,1.12134,0.42505,0.23945,0.21869,0.09676,2.14783,1.90329,1.51709,0.00538,0.00538,0.00538
142,9429.1,1.19886,0.77087,1.13384,0.32244,0.29756,0.25391,0.11456,1.98306,1.74598,1.45021,0.005347,0.005347,0.005347
143,9495.28,1.19151,0.76939,1.1322,0.48083,0.30748,0.33087,0.146,1.93735,1.68336,1.45032,0.005314,0.005314,0.005314
144,9561.73,1.22314,0.78139,1.13266,0.45676,0.23287,0.24973,0.11989,2.00308,1.73079,1.48439,0.005281,0.005281,0.005281
145,9628.18,1.16492,0.75402,1.11892,0.27083,0.31201,0.2658,0.12319,1.97407,1.73488,1.49717,0.005248,0.005248,0.005248
146,9694.47,1.17403,0.75849,1.11406,0.41369,0.30574,0.31461,0.14475,1.96248,1.6677,1.46598,0.005215,0.005215,0.005215
147,9760.78,1.18315,0.77176,1.13178,0.2685,0.30261,0.24893,0.1159,1.99838,1.75627,1.47677,0.005182,0.005182,0.005182
148,9827,1.16607,0.74984,1.12207,0.32221,0.30859,0.25548,0.11504,2.08573,1.89135,1.52095,0.005149,0.005149,0.005149
149,9893.28,1.18308,0.76927,1.1471,0.29758,0.31397,0.25986,0.11688,2.03404,1.80928,1.51359,0.005116,0.005116,0.005116
150,9959.64,1.18667,0.75167,1.11795,0.27193,0.26339,0.23439,0.11012,2.04584,1.78655,1.48661,0.005083,0.005083,0.005083
151,10025.9,1.17123,0.76475,1.12409,0.30248,0.2682,0.24452,0.1099,2.04621,1.97069,1.51823,0.00505,0.00505,0.00505
152,10092.2,1.15655,0.73985,1.12663,0.38052,0.33644,0.32331,0.14743,1.92627,1.65131,1.46761,0.005017,0.005017,0.005017
153,10158.4,1.1693,0.75874,1.13095,0.33601,0.31289,0.29076,0.13739,1.90382,1.56472,1.47572,0.004984,0.004984,0.004984
154,10224.8,1.17795,0.75663,1.11836,0.3018,0.26879,0.24849,0.10928,2.09027,1.78576,1.53302,0.004951,0.004951,0.004951
155,10291.1,1.17293,0.74815,1.1222,0.28797,0.30467,0.25175,0.11314,2.06016,1.91648,1.53752,0.004918,0.004918,0.004918
156,10357.7,1.153,0.74074,1.11185,0.42854,0.33755,0.33063,0.14279,1.9486,1.69934,1.46977,0.004885,0.004885,0.004885
157,10424,1.13585,0.72296,1.1109,0.38827,0.36036,0.32456,0.14708,1.92912,1.7177,1.45615,0.004852,0.004852,0.004852
158,10490.3,1.12741,0.72614,1.10809,0.28616,0.29162,0.25488,0.12266,1.97881,1.70334,1.46615,0.004819,0.004819,0.004819
159,10556.9,1.16635,0.76076,1.11502,0.42797,0.31564,0.28914,0.13194,2.00429,1.74195,1.49294,0.004786,0.004786,0.004786
160,10623,1.16491,0.75352,1.11332,0.38769,0.33228,0.26836,0.11497,2.08666,1.90524,1.49503,0.004753,0.004753,0.004753
161,10689.7,1.12516,0.72714,1.09774,0.28286,0.31744,0.28026,0.12863,1.96097,1.68737,1.46394,0.00472,0.00472,0.00472
162,10756.3,1.18278,0.75209,1.12039,0.30748,0.32588,0.28362,0.13569,1.91814,1.6701,1.44227,0.004687,0.004687,0.004687
163,10822.7,1.15004,0.73739,1.11902,0.33887,0.2574,0.24314,0.11187,2.07419,1.90323,1.52289,0.004654,0.004654,0.004654
164,10889.1,1.13663,0.73771,1.10032,0.29157,0.327,0.27946,0.13481,1.92459,1.6483,1.43039,0.004621,0.004621,0.004621
165,10955.4,1.13014,0.71692,1.10215,0.30877,0.30813,0.27225,0.12941,1.96293,1.7412,1.45384,0.004588,0.004588,0.004588
166,11021.6,1.12695,0.72365,1.10524,0.39029,0.33105,0.30545,0.14214,1.92364,1.61451,1.4579,0.004555,0.004555,0.004555
167,11087.9,1.14305,0.73533,1.1121,0.26479,0.31148,0.26457,0.1326,1.94088,1.70533,1.47802,0.004522,0.004522,0.004522
168,11154.1,1.13898,0.73384,1.09927,0.37685,0.28953,0.27718,0.1322,1.94515,1.68535,1.436,0.004489,0.004489,0.004489
169,11220.5,1.12778,0.71259,1.10593,0.39167,0.34399,0.32097,0.1445,1.93237,1.56591,1.43267,0.004456,0.004456,0.004456
170,11286.8,1.15554,0.7304,1.10861,0.40494,0.32589,0.32789,0.15077,1.89095,1.56278,1.41193,0.004423,0.004423,0.004423
171,11353.2,1.11952,0.71972,1.09388,0.28576,0.32041,0.28488,0.1337,1.98607,1.64592,1.49026,0.00439,0.00439,0.00439
172,11419.5,1.12775,0.7295,1.1007,0.42969,0.28999,0.2972,0.13578,1.95701,1.629,1.46323,0.004357,0.004357,0.004357
173,11486,1.11304,0.70682,1.08955,0.3803,0.30233,0.29548,0.13532,1.96917,1.67884,1.48193,0.004324,0.004324,0.004324
174,11552.2,1.13374,0.71181,1.10727,0.41051,0.27155,0.27568,0.12676,1.99688,1.77136,1.46022,0.004291,0.004291,0.004291
175,11618.6,1.12015,0.71763,1.10608,0.37045,0.27355,0.26705,0.1302,1.92542,1.77627,1.45253,0.004258,0.004258,0.004258
176,11684.9,1.13511,0.72378,1.10862,0.27711,0.27568,0.25962,0.12289,2.00188,1.66666,1.49116,0.004225,0.004225,0.004225
177,11751.1,1.10654,0.71075,1.08725,0.35435,0.31624,0.29408,0.14068,1.89667,1.62192,1.43917,0.004192,0.004192,0.004192
178,11817.4,1.13505,0.72116,1.08682,0.3334,0.33721,0.28371,0.13263,1.98189,1.65228,1.48809,0.004159,0.004159,0.004159
179,11883.9,1.11902,0.73251,1.09437,0.42437,0.2762,0.23886,0.10878,2.05962,1.85705,1.4966,0.004126,0.004126,0.004126
180,11950.2,1.14132,0.7303,1.10495,0.44742,0.29825,0.30622,0.14841,1.87515,1.60431,1.43648,0.004093,0.004093,0.004093
181,12016.4,1.07551,0.69547,1.06738,0.28482,0.2784,0.26116,0.12777,1.93248,1.71248,1.48397,0.00406,0.00406,0.00406
182,12082.8,1.11165,0.69721,1.09033,0.32618,0.28565,0.2515,0.10934,2.01709,1.83611,1.51442,0.004027,0.004027,0.004027
183,12149,1.10661,0.69521,1.10234,0.34793,0.3144,0.2937,0.13896,1.96589,1.69615,1.485,0.003994,0.003994,0.003994
184,12215.4,1.09799,0.69143,1.06911,0.29009,0.33005,0.28045,0.12603,1.98517,1.71609,1.46894,0.003961,0.003961,0.003961
185,12281.6,1.12007,0.71379,1.08795,0.44115,0.29456,0.29214,0.131,1.98688,1.7396,1.48425,0.003928,0.003928,0.003928
186,12347.9,1.09508,0.69258,1.08163,0.37106,0.30134,0.29156,0.13949,1.9381,1.65699,1.46416,0.003895,0.003895,0.003895
187,12414.2,1.09347,0.69262,1.08334,0.31578,0.29865,0.27417,0.13142,1.93593,1.69536,1.47671,0.003862,0.003862,0.003862
188,12480.5,1.08961,0.69161,1.07717,0.45491,0.34896,0.34913,0.1534,1.9239,1.58003,1.46715,0.003829,0.003829,0.003829
189,12547,1.09197,0.69575,1.09569,0.35541,0.30822,0.29187,0.13339,1.91536,1.6023,1.45115,0.003796,0.003796,0.003796
190,12613.5,1.0848,0.68099,1.08376,0.2653,0.28604,0.25321,0.1213,1.9561,1.73146,1.46135,0.003763,0.003763,0.003763
