epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,531.983,1.52871,1.13363,1.28055,0.46101,0.57041,0.45694,0.22277,1.5955,1.94985,1.33303,0.008086,0.008086,0.008086
60,540.574,1.4999,1.1146,1.2785,0.57842,0.5064,0.5329,0.25771,1.55287,1.16306,1.30948,0.008053,0.008053,0.008053
61,549.163,1.51715,1.10444,1.28217,0.66486,0.57884,0.63209,0.28348,1.55354,1.07883,1.30875,0.00802,0.00802,0.00802
62,557.752,1.53455,1.13627,1.29959,0.56441,0.50639,0.52488,0.23097,1.57091,1.52875,1.31385,0.007987,0.007987,0.007987
63,566.361,1.52423,1.13194,1.28434,0.48795,0.42349,0.39926,0.18132,1.72107,1.82973,1.40085,0.007954,0.007954,0.007954
64,574.937,1.49991,1.11797,1.27905,0.60056,0.57154,0.61229,0.31441,1.51523,1.07687,1.30076,0.007921,0.007921,0.007921
65,583.574,1.50232,1.11223,1.26135,0.66693,0.57397,0.5915,0.30009,1.51184,1.09083,1.28536,0.007888,0.007888,0.007888
66,592.12,1.48875,1.09324,1.26824,0.77052,0.56966,0.6527,0.32055,1.50642,1.00357,1.29209,0.007855,0.007855,0.007855
67,600.695,1.48252,1.09552,1.26509,0.68622,0.60253,0.66456,0.32468,1.47287,1.03491,1.26056,0.007822,0.007822,0.007822
68,609.266,1.50186,1.10129,1.27489,0.71254,0.59425,0.63917,0.31145,1.57863,1.03767,1.30856,0.007789,0.007789,0.007789
69,617.798,1.47848,1.09501,1.24447,0.73309,0.64605,0.69737,0.35459,1.44549,0.95556,1.23802,0.007756,0.007756,0.007756
70,626.375,1.49008,1.1044,1.27446,0.64005,0.68135,0.68332,0.34041,1.49497,0.99626,1.25065,0.007723,0.007723,0.007723
71,634.952,1.48044,1.08326,1.26174,0.67209,0.6032,0.63522,0.32628,1.48713,1.04143,1.27424,0.00769,0.00769,0.00769
72,643.578,1.48971,1.09454,1.26709,0.69341,0.58816,0.63785,0.31717,1.4683,1.03476,1.26738,0.007657,0.007657,0.007657
73,652.2,1.47275,1.06852,1.26441,0.53263,0.41262,0.41198,0.19905,1.66987,2.09457,1.39737,0.007624,0.007624,0.007624
74,660.754,1.47417,1.08157,1.25408,0.66475,0.53889,0.59852,0.29744,1.51284,1.05534,1.26754,0.007591,0.007591,0.007591
75,669.309,1.49027,1.12367,1.25564,0.39915,0.40948,0.35315,0.16893,1.73876,1.33709,1.41401,0.007558,0.007558,0.007558
76,677.876,1.47163,1.06743,1.2613,0.6244,0.48062,0.55131,0.26609,1.59061,1.09645,1.31459,0.007525,0.007525,0.007525
77,686.499,1.46137,1.06298,1.23429,0.56758,0.52808,0.4955,0.22129,1.65935,1.20099,1.38083,0.007492,0.007492,0.007492
78,695.094,1.43971,1.0583,1.24576,0.70698,0.65655,0.68953,0.31655,1.52668,1.00558,1.28864,0.007459,0.007459,0.007459
79,703.669,1.46165,1.06988,1.25552,0.57735,0.57327,0.57079,0.28085,1.5459,1.04038,1.30504,0.007426,0.007426,0.007426
80,712.269,1.41645,1.04171,1.22406,0.67306,0.56656,0.60912,0.27456,1.54362,1.17863,1.30618,0.007393,0.007393,0.007393
81,720.837,1.43379,1.04592,1.2432,0.62263,0.56651,0.60556,0.3056,1.52356,1.0651,1.26645,0.00736,0.00736,0.00736
82,729.407,1.44739,1.03758,1.2429,0.67588,0.63138,0.66982,0.3276,1.47765,0.97936,1.26629,0.007327,0.007327,0.007327
83,737.987,1.45138,1.05911,1.23945,0.74066,0.67215,0.73268,0.36275,1.46662,0.91748,1.28016,0.007294,0.007294,0.007294
84,746.579,1.41295,1.01484,1.21685,0.71093,0.64331,0.7022,0.34861,1.45542,0.95954,1.25684,0.007261,0.007261,0.007261
85,755.17,1.43476,1.02249,1.24649,0.51123,0.51166,0.48719,0.2269,1.57415,1.21443,1.32738,0.007228,0.007228,0.007228
86,763.732,1.41756,1.04731,1.23329,0.71537,0.63461,0.66081,0.31381,1.49835,0.98991,1.28985,0.007195,0.007195,0.007195
87,772.318,1.41536,1.01106,1.21511,0.67116,0.59488,0.63448,0.3154,1.50144,1.02695,1.27202,0.007162,0.007162,0.007162
88,780.895,1.41329,1.00046,1.2383,0.69021,0.65763,0.68909,0.33003,1.50225,1.00077,1.28215,0.007129,0.007129,0.007129
89,789.466,1.42609,1.02425,1.23541,0.75314,0.63953,0.73745,0.35172,1.42046,0.9413,1.24642,0.007096,0.007096,0.007096
90,798.041,1.44172,1.0404,1.22999,0.74606,0.70039,0.73972,0.36551,1.41216,0.97402,1.21924,0.007063,0.007063,0.007063
91,806.617,1.40766,1.02155,1.21342,0.60108,0.55994,0.56885,0.26965,1.5334,1.087,1.316,0.00703,0.00703,0.00703
92,815.197,1.42821,1.05407,1.24813,0.71025,0.59462,0.66437,0.3201,1.46442,1.02054,1.26263,0.006997,0.006997,0.006997
