                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
78,1.2624,0.91519,1.0313,0.76103,0.75369,0.79708,0.41731,1.4014,0.88655,1.0405,0.00067802,0.00067802,0.00067802
79,1.2665,0.92704,1.0423,0.78622,0.79525,0.80346,0.42523,1.4034,0.85916,1.0382,0.00067502,0.00067502,0.00067502
80,1.2852,0.91821,1.046,0.81459,0.70833,0.77931,0.4111,1.4323,0.9175,1.0685,0.00067202,0.00067202,0.00067202
81,1.2723,0.92494,1.0289,0.76268,0.79416,0.80963,0.45275,1.3431,0.83728,1.0232,0.00066902,0.00066902,0.00066902
82,1.2889,0.92414,1.047,0.77313,0.76934,0.80337,0.43462,1.4028,0.85137,1.0424,0.00066602,0.00066602,0.00066602
83,1.3057,0.95373,1.0443,0.74739,0.79436,0.82701,0.45744,1.3627,0.84779,1.0204,0.00066302,0.00066302,0.00066302
84,1.2872,0.93529,1.0383,0.75253,0.77506,0.8081,0.45247,1.3499,0.83852,1.0036,0.00066002,0.00066002,0.00066002
85,1.2754,0.9148,1.0274,0.7491,0.80677,0.81136,0.44063,1.3609,0.85771,1.0123,0.00065703,0.00065703,0.00065703
86,1.3035,0.94077,1.0334,0.71938,0.74441,0.72554,0.36688,1.4379,0.91661,1.0477,0.00065403,0.00065403,0.00065403
87,1.2718,0.92359,1.0485,0.80156,0.7702,0.81428,0.44676,1.3661,0.82666,1.0296,0.00065103,0.00065103,0.00065103
88,1.2722,0.89852,1.0288,0.86793,0.79368,0.83704,0.45807,1.3646,0.81339,1.0228,0.00064803,0.00064803,0.00064803
89,1.2535,0.89411,1.026,0.81683,0.77734,0.79363,0.42943,1.4005,0.85288,1.0285,0.00064503,0.00064503,0.00064503
90,1.2471,0.90704,1.0273,0.76301,0.76649,0.8182,0.44422,1.3846,0.83751,1.0396,0.00064203,0.00064203,0.00064203
91,1.2669,0.90416,1.0475,0.77289,0.81913,0.82724,0.44225,1.3438,0.81809,1.0199,0.00063903,0.00063903,0.00063903
92,1.2792,0.91353,1.0287,0.78585,0.81286,0.83469,0.45534,1.3443,0.81062,1.0239,0.00063603,0.00063603,0.00063603
93,1.2582,0.88611,1.0316,0.75954,0.79393,0.81222,0.43255,1.3718,0.85163,1.0275,0.00063303,0.00063303,0.00063303
94,1.2504,0.88573,1.0308,0.77097,0.78206,0.7903,0.43281,1.3407,0.85046,1.029,0.00063003,0.00063003,0.00063003
95,1.2479,0.86817,1.0336,0.77692,0.76825,0.79557,0.42878,1.382,0.8303,1.0326,0.00062703,0.00062703,0.00062703
96,1.2102,0.84267,1.0086,0.74104,0.73072,0.75514,0.40598,1.4031,0.87144,1.044,0.00062403,0.00062403,0.00062403
97,1.2217,0.86508,1.0128,0.78,0.78802,0.79967,0.43646,1.361,0.82648,1.0354,0.00062103,0.00062103,0.00062103
98,1.2337,0.87548,1.0243,0.79656,0.79036,0.81471,0.44503,1.3637,0.83492,1.0452,0.00061803,0.00061803,0.00061803
99,1.2477,0.88184,1.0379,0.77096,0.78881,0.79136,0.43025,1.3678,0.8277,1.047,0.00061503,0.00061503,0.00061503
100,1.2478,0.88153,1.021,0.77424,0.79173,0.79108,0.44044,1.3516,0.83455,1.0138,0.00061203,0.00061203,0.00061203
101,1.2575,0.88341,1.0303,0.79002,0.783,0.81328,0.447,1.3775,0.81125,1.0339,0.00060903,0.00060903,0.00060903
102,1.2247,0.86773,1.0232,0.79414,0.80392,0.80439,0.43247,1.3589,0.80364,1.0407,0.00060603,0.00060603,0.00060603
103,1.2045,0.85647,1.0116,0.76236,0.6531,0.73807,0.38603,1.4407,0.95884,1.0655,0.00060303,0.00060303,0.00060303
104,1.2343,0.85634,1.0266,0.76732,0.79713,0.79995,0.42248,1.3866,0.83872,1.0362,0.00060003,0.00060003,0.00060003
105,1.1951,0.83767,1.0092,0.79502,0.80257,0.81396,0.44871,1.3484,0.80436,1.0243,0.00059703,0.00059703,0.00059703
106,1.2354,0.85473,1.0195,0.79694,0.80297,0.80502,0.45026,1.3276,0.78174,1.0243,0.00059403,0.00059403,0.00059403
107,1.1896,0.84119,1.0019,0.81585,0.77082,0.80058,0.446,1.354,0.79786,1.0518,0.00059103,0.00059103,0.00059103
108,1.214,0.86065,1.0124,0.64574,0.7149,0.69348,0.35361,1.4965,0.93747,1.1057,0.00058803,0.00058803,0.00058803
109,1.2163,0.85873,1.0163,0.83099,0.77927,0.83012,0.4691,1.3411,0.81037,1.0392,0.00058503,0.00058503,0.00058503
110,1.1955,0.84854,1.0087,0.82761,0.7373,0.78324,0.42403,1.3493,0.82514,1.0262,0.00058203,0.00058203,0.00058203
111,1.2135,0.84543,1.0118,0.76764,0.77027,0.78998,0.42694,1.3673,0.9255,1.0413,0.00057903,0.00057903,0.00057903
112,1.1902,0.82315,1.0052,0.78887,0.75833,0.80778,0.41986,1.3761,0.91108,1.0323,0.00057603,0.00057603,0.00057603
113,1.2002,0.84711,1.0116,0.77308,0.77102,0.78568,0.42679,1.3764,0.80926,1.0454,0.00057303,0.00057303,0.00057303
114,1.1999,0.84431,1.0088,0.80438,0.79396,0.80754,0.44162,1.3476,0.81698,1.0354,0.00057003,0.00057003,0.00057003
115,1.2021,0.82754,1.0032,0.76462,0.76193,0.75748,0.40375,1.4333,0.85509,1.082,0.00056703,0.00056703,0.00056703
116,1.2226,0.85644,1.0172,0.82968,0.77737,0.80165,0.43241,1.3603,0.79874,1.0708,0.00056403,0.00056403,0.00056403
117,1.2218,0.8553,1.0154,0.78285,0.77055,0.76242,0.40223,1.4273,0.82388,1.1034,0.00056103,0.00056103,0.00056103
118,1.2084,0.82717,1.0109,0.79485,0.79003,0.81483,0.44768,1.3459,0.78287,1.0518,0.00055804,0.00055804,0.00055804
119,1.1977,0.83631,1.0183,0.78491,0.76664,0.80645,0.42526,1.414,0.81758,1.0862,0.00055504,0.00055504,0.00055504
120,1.1869,0.8201,1.0066,0.76433,0.7725,0.78612,0.43322,1.3357,0.8134,1.0251,0.00055204,0.00055204,0.00055204
121,1.2224,0.83153,1.0092,0.78873,0.76819,0.79206,0.42617,1.3798,0.8209,1.0425,0.00054904,0.00054904,0.00054904
122,1.1752,0.82549,1.0031,0.7526,0.77064,0.77642,0.4235,1.3659,0.82205,1.029,0.00054604,0.00054604,0.00054604
123,1.1985,0.84,1.0098,0.78523,0.76774,0.78678,0.44174,1.353,0.80638,1.0367,0.00054304,0.00054304,0.00054304
124,1.1969,0.8188,1.0093,0.80574,0.77857,0.78992,0.43348,1.3742,0.81728,1.0476,0.00054004,0.00054004,0.00054004
125,1.168,0.82584,0.99732,0.81163,0.79461,0.82433,0.45388,1.3788,0.80592,1.0642,0.00053704,0.00053704,0.00053704
126,1.2218,0.85403,1.015,0.79138,0.77387,0.80749,0.4592,1.3444,0.81444,1.0426,0.00053404,0.00053404,0.00053404
127,1.183,0.81185,0.99604,0.8376,0.76227,0.8247,0.45777,1.3406,0.79377,1.0497,0.00053104,0.00053104,0.00053104
128,1.1748,0.81028,0.99645,0.8311,0.77443,0.82238,0.45924,1.3309,0.79704,1.0252,0.00052804,0.00052804,0.00052804
129,1.1644,0.81576,0.99146,0.8126,0.78246,0.81637,0.44684,1.3415,0.79596,1.0188,0.00052504,0.00052504,0.00052504
130,1.1708,0.81495,1.0061,0.80879,0.78549,0.81947,0.45483,1.3361,0.79246,1.0268,0.00052204,0.00052204,0.00052204
131,1.1926,0.81973,1.0046,0.77678,0.79991,0.79876,0.43451,1.3481,0.79949,1.0264,0.00051904,0.00051904,0.00051904
132,1.16,0.8051,0.98478,0.80437,0.81383,0.82968,0.46474,1.3444,0.7846,1.0385,0.00051604,0.00051604,0.00051604
133,1.181,0.80599,1.0036,0.76616,0.81589,0.8129,0.45045,1.357,0.7905,1.0378,0.00051304,0.00051304,0.00051304
134,1.1773,0.80185,1.0004,0.79528,0.79814,0.80886,0.45711,1.3509,0.78791,1.0309,0.00051004,0.00051004,0.00051004
135,1.1833,0.79819,0.99568,0.80118,0.77814,0.79424,0.43318,1.392,0.79744,1.0655,0.00050704,0.00050704,0.00050704
136,1.133,0.79387,0.99339,0.81914,0.80741,0.82312,0.46272,1.3372,0.74234,1.0401,0.00050404,0.00050404,0.00050404
137,1.1691,0.80964,0.99879,0.80074,0.78269,0.81189,0.43689,1.356,0.78907,1.0623,0.00050104,0.00050104,0.00050104
138,1.1712,0.80278,1.0052,0.76292,0.79426,0.77535,0.42903,1.3588,0.80897,1.0493,0.00049804,0.00049804,0.00049804
139,1.1353,0.79359,0.99357,0.80612,0.78864,0.78449,0.43706,1.3491,0.80681,1.0578,0.00049504,0.00049504,0.00049504
140,1.1576,0.77569,0.98704,0.80646,0.79903,0.80858,0.44238,1.3618,0.77591,1.0675,0.00049204,0.00049204,0.00049204
141,1.1694,0.79455,1.0021,0.80607,0.80454,0.79447,0.43388,1.3451,0.77383,1.029,0.00048904,0.00048904,0.00048904
142,1.1495,0.78525,0.98021,0.8212,0.79272,0.81377,0.45768,1.3246,0.78207,1.0271,0.00048604,0.00048604,0.00048604
143,1.1448,0.78655,0.99931,0.79022,0.78445,0.7952,0.43806,1.3517,0.79117,1.0437,0.00048304,0.00048304,0.00048304
144,1.1441,0.75389,0.98656,0.79749,0.79006,0.8102,0.45975,1.3339,0.76148,1.0352,0.00048004,0.00048004,0.00048004
